item_id,order_id,product_id,quantity,unit_price,discount_percent
I000001,O00801,P0194,4,6692.23,20
I000002,O00136,P0391,2,4087.63,15
I000003,O00780,P0231,4,1276.96,10
I000004,O00092,P0410,5,5349.57,15
I000005,O00397,P0120,4,2778.08,0
I000006,O00982,P0344,4,5913.71,0
I000007,O00887,P0085,1,4618.76,10
I000008,O00575,P0331,1,5186.92,0
I000009,O00198,P0490,5,4380.49,0
I000010,O00981,P0292,5,1596.23,15
I000011,O00515,P0460,1,1050.24,20
I000012,O00185,P0493,1,2272.2,5
I000013,O00252,P0425,5,3609.41,20
I000014,O00622,P0165,4,4752.25,15
I000015,O00883,P0479,1,2785.66,5
I000016,O00425,P0013,5,2607.32,10
I000017,O00094,P0059,1,4380.06,10
I000018,O00148,P0094,3,6169.61,5
I000019,O00315,P0488,4,5461.01,0
I000020,O00630,P0493,3,1533.52,0
I000021,O00306,P0200,1,2628.33,15
I000022,O00915,P0166,3,3066.55,0
I000023,O00054,P0104,2,6041.86,20
I000024,O00243,P0253,5,6043.88,15
I000025,O00973,P0059,3,578.99,15
I000026,O00567,P0209,1,3924.95,15
I000027,O00649,P0120,1,2226.36,20
I000028,O00692,P0052,2,6127.53,5
I000029,O00312,P0291,4,3623.26,20
I000030,O00209,P0401,2,3049.11,5
I000031,O00801,P0126,5,7625.64,20
I000032,O00463,P0022,1,6519.89,20
I000033,O00297,P0335,-1,575.38,15
I000034,O00280,P0307,3,6731.95,15
I000035,O00360,P0432,2,4722.76,20
I000036,O00289,P0024,2,5939.55,20
I000037,O00072,P0154,1,3222.91,0
I000038,O00851,P0072,5,7990.69,15
I000039,O00216,P0313,5,7663.6,10
I000040,O00906,P0350,3,5117.84,15
I000041,O00280,P0126,3,2798.88,15
I000042,O00983,P0307,3,225.41,5
I000043,O00662,P0473,1,4909.42,0
I000044,O00924,P0005,2,3363.99,15
I000045,O00781,P0202,5,741.08,0
I000046,O00552,P0016,4,5410.74,10
I000047,O00996,P0417,4,6636.99,10
I000048,O00397,P0091,1,1085.63,10
I000049,O00959,P0099,4,173.97,0
I000050,O00777,P0144,3,1612.94,20
I000051,O00641,P0156,2,1950.64,15
I000052,O00991,P0186,1,2317.98,20
I000053,O00215,P0004,2,7875.68,15
I000054,O00114,P0446,3,4595.91,15
I000055,O00175,P0283,2,5312.72,20
I000056,O00689,P0350,5,4564.61,0
I000057,O00603,P0066,1,1106.7,20
I000058,O00877,P0117,5,5858.3,10
I000059,O00197,P0435,1,7936.42,20
I000060,O00630,P0130,5,7076.51,0
I000061,O00961,P0219,1,6845.49,10
I000062,O00443,P0433,4,2264.88,20
I000063,O00478,P0254,3,4186.33,0
I000064,O00906,P0370,2,471.02,15
I000065,O00546,P0230,3,140.76,5
I000066,O00343,P0042,-1,7923.09,5
I000067,O00707,P0217,1,7344.26,5
I000068,O00169,P0169,3,596.47,0
I000069,O00029,P0246,4,6483.67,20
I000070,O00817,P0321,3,6740.01,5
I000071,O00111,P0243,2,7674.54,0
I000072,O00842,P0171,5,6373.48,0
I000073,O00795,P0308,5,3564.38,0
I000074,O00641,P0229,5,1086.13,0
I000075,O00939,P0018,4,2574.91,0
I000076,O00802,P0066,1,7361.01,15
I000077,O00057,P0155,5,5046.86,0
I000078,O00105,P0347,1,4518.14,10
I000079,O00871,P0196,4,857.06,15
I000080,O00239,P0443,5,6321.05,20
I000081,O00011,P0233,4,3767.25,15
I000082,O00902,P0318,5,900.1,0
I000083,O00465,P0265,3,4743.73,0
I000084,O00106,P0007,5,5735.07,20
I000085,O00809,P0431,2,7244.52,5
I000086,O00653,P0261,3,2907.59,15
I000087,O00743,P0318,4,1568.79,5
I000088,O00817,P0023,1,1108.68,20
I000089,O00447,P0263,3,2558.39,20
I000090,O00795,P0075,2,3809.24,20
I000091,O00352,P0150,3,7765.14,20
I000092,O00601,P0337,2,552.81,20
I000093,O00839,P0428,5,6883.75,15
I000094,O00353,P0101,2,5160.38,5
I000095,O00805,P0036,3,1595.91,15
I000096,O00712,P0355,4,4838.12,10
I000097,O00873,P0297,5,7708.21,20
I000098,O00307,P0215,3,1382.01,15
I000099,O00898,P0405,-2,1833.31,0
I000100,O00655,P0115,0,3785.64,5
I000101,O00245,P0247,3,6477.44,15
I000102,O00211,P0205,2,6626.07,0
I000103,O00372,P0006,1,2927.3,20
I000104,O00118,P0073,3,3579.22,20
I000105,O00935,P0392,3,446.85,0
I000106,O00204,P0102,3,1475.76,10
I000107,O00737,P0090,3,6795.52,5
I000108,O00183,P0101,1,1491.01,10
I000109,O00933,P0052,1,6668.42,5
I000110,O00389,P0336,1,2773.23,5
I000111,O00313,P0234,2,3020.16,10
I000112,O00677,P0088,5,7819.1,20
I000113,O00903,P0223,1,1036.1,5
I000114,O00814,P0098,2,4307.18,10
I000115,O00326,P0307,4,7818.15,5
I000116,O00944,P0024,5,4739.87,20
I000117,O00302,P0405,2,2688.68,0
I000118,O00645,P0408,3,6995.53,20
I000119,O00992,P0300,4,1752.98,0
I000120,O00804,P0241,5,612.5,20
I000121,O00398,P0385,5,3056.7,20
I000122,O00476,P0092,3,5728.65,20
I000123,O00712,P0248,4,3842.69,20
I000124,O00411,P0327,5,5232.92,5
I000125,O00225,P0459,2,3671.43,5
I000126,O00406,P0112,3,3457.68,15
I000127,O00586,P0081,3,2110.78,0
I000128,O00138,P0385,1,2430.88,20
I000129,O00361,P0118,5,425.03,20
I000130,O00637,P0173,4,3664.09,15
I000131,O00419,P0189,4,2604.46,15
I000132,O00026,P0092,-1,2198.44,0
I000133,O00368,P0462,1,2426.69,20
I000134,O00526,P0280,1,6308.4,5
I000135,O00101,P0061,1,2945.87,20
I000136,O00206,P0171,2,5433.35,10
I000137,O00310,P0382,3,1606.08,20
I000138,O00142,P0438,5,7307.82,0
I000139,O00789,P0154,3,6596.24,15
I000140,O00969,P0208,5,6086.67,0
I000141,O00484,P0335,5,7915.27,5
I000142,O00887,P0204,2,1892.72,5
I000143,O00486,P0120,5,4737.33,20
I000144,O00776,P0240,4,2791.21,0
I000145,O00321,P0434,2,3487.46,15
I000146,O00215,P0225,4,6838.26,0
I000147,O00384,P0072,5,7002.63,10
I000148,O00966,P0378,1,4048.42,10
I000149,O00348,P0116,4,3463.18,15
I000150,O00782,P0399,5,2467.13,20
I000151,O00024,P0291,1,7384.94,5
I000152,O00976,P0170,5,5075.73,20
I000153,O00936,P0312,5,6948.86,15
I000154,O00210,P0486,4,603.3,15
I000155,O00193,P0244,1,2697.85,15
I000156,O00655,P0459,3,836.61,0
I000157,O00692,P0284,2,353.27,20
I000158,O00501,P0014,2,1672.09,15
I000159,O00291,P0106,2,2399.73,20
I000160,O00072,P0233,1,3012.35,0
I000161,O00176,P0168,4,3189.73,0
I000162,O00133,P0275,4,3878.18,0
I000163,O00399,P0490,2,1126.47,5
I000164,O00318,P0222,4,1354.37,20
I000165,O00962,P0159,-1,4069.55,15
I000166,O00283,P0104,1,7929.57,15
I000167,O00066,P0423,4,4878.3,5
I000168,O00539,P0169,5,7045.99,15
I000169,O00474,P0295,1,5924.6,10
I000170,O00662,P0452,4,2839.58,10
I000171,O00401,P0314,2,3378.92,5
I000172,O00922,P0317,4,3716.84,5
I000173,O00716,P0292,1,3209.06,0
I000174,O00246,P0454,2,2262.83,20
I000175,O00299,P0342,1,5614.55,5
I000176,O00931,P0253,4,7939.88,20
I000177,O00125,P0189,1,6067.64,20
