order_id,customer_id,order_date,status,region_code
O00001,C0488,2025-07-31 00:00:00,Pending,EAST
O00002,C0086,2025-08-25 00:00:00,Pending,EAST
O00003,C0376,2024-12-08 00:00:00,Cancelled,EAST
O00004,C0269,2024-10-14 00:00:00,Returned,NORTH
O00005,C0255,2025-11-19 00:00:00,Delivered,SOUTH
O00006,C0189,2025-01-18 00:00:00,Delivered,NORTH
O00007,C0117,2026-01-13 00:00:00,Cancelled,NORTH
O00008,C0126,2024-09-26 00:00:00,Delivered,SOUTH
O00009,C0092,2024-09-15 00:00:00,Returned,WEST
O00010,C0115,2025-07-05 00:00:00,Returned,EAST
O00011,C0139,2024-10-28 00:00:00,Delivered,NORTH
O00012,C0092,2025-03-26 00:00:00,Returned,NORTH
O00013,C0450,2025-11-29 00:00:00,Cancelled,EAST
O00014,C0045,2026-02-27 00:00:00,Delivered,EAST
O00015,C0289,2025-06-18 00:00:00,Delivered,EAST
O00016,C0303,2025-12-28 00:00:00,Returned,SOUTH
O00017,C0078,2024-08-16 00:00:00,Delivered,EAST
O00018,C0326,2026-07-21 00:00:00,Delivered,WEST
O00019,C0435,2025-06-20 00:00:00,Delivered,SOUTH
O00020,,2025-12-26 00:00:00,Pending,NORTH
O00021,C0023,,Pending,EAST
O00022,C0235,,Delivered,WEST
O00023,C0039,,Delivered,SOUTH
O00024,C0122,,Delivered,WEST
O00025,C0359,,Delivered,NORTH
O00026,C0484,,Pending,NORTH
O00027,C0080,,Delivered,WEST
O00028,C0062,,Delivered,EAST
O00029,C0238,,Delivered,EAST
O00030,C0424,,Delivered,EAST
O00031,C0076,,Returned,WEST
O00032,C0263,,Delivered,SOUTH
O00033,C0016,,Pending,SOUTH
O00034,C0049,,Pending,NORTH
O00035,C0007,,Delivered,WEST
O00036,C0191,,Delivered,EAST
O00037,C0470,,Delivered,WEST
O00038,C0415,,Cancelled,EAST
O00039,C0063,,Delivered,WEST
O00040,,,Delivered,WEST
O00041,C0089,,Delivered,EAST
O00042,C0229,,Pending,SOUTH
O00043,C0332,,Cancelled,WEST
O00044,C0032,,Delivered,SOUTH
O00045,C0330,,Returned,NORTH
O00046,C0196,,Pending,EAST
O00047,C0468,,Delivered,SOUTH
O00048,C0014,,Delivered,EAST
O00049,C0030,,Pending,SOUTH
O00050,C0499,,Pending,EAST
O00051,C0274,,Cancelled,WEST
O00052,C0182,,Delivered,EAST
O00053,C0468,,Pending,SOUTH
O00054,C0289,,Delivered,WEST
O00055,C0020,,Pending,NORTH
O00056,C0270,,Returned,SOUTH
O00057,C0413,,Delivered,EAST
O00058,C0031,,Pending,SOUTH
O00059,C0397,,Delivered,NORTH
O00060,,,Delivered,EAST
O00061,C0155,,Pending,WEST
O00062,C0406,,Delivered,EAST
O00063,C0115,,Delivered,EAST
O00064,C0376,,Delivered,NORTH
O00065,C0486,,Cancelled,NORTH
O00066,C0094,,Cancelled,SOUTH
O00067,C0328,,Delivered,EAST
O00068,C0382,,Returned,SOUTH
O00069,C0326,,Pending,EAST
O00070,C0229,,Delivered,NORTH
O00071,C0180,,Delivered,WEST
O00072,C0225,,Delivered,WEST
O00073,C0180,,Cancelled,SOUTH
O00074,C0084,,Cancelled,EAST
O00075,C0011,,Delivered,SOUTH
O00076,C0455,,Delivered,NORTH
O00077,C0174,,Delivered,NORTH
O00078,C0221,,Cancelled,SOUTH
O00079,C0028,,Returned,WEST
O00080,,,Pending,EAST
O00081,C0339,,Delivered,WEST
O00082,C0293,,Delivered,NORTH
O00083,C0219,,Pending,WEST
O00084,C0103,,Delivered,EAST
O00085,C0042,,Pending,WEST
O00086,C0251,,Pending,WEST
O00087,C0095,,Delivered,NORTH
O00088,C0135,,Delivered,EAST
O00089,C0289,,Pending,NORTH
O00090,C0044,,Delivered,SOUTH
O00091,C0284,,Delivered,WEST
O00092,C0294,,Delivered,NORTH
O00093,C0258,,Delivered,SOUTH
O00094,C0062,,Returned,SOUTH
O00095,C0065,,Returned,WEST
O00096,C0104,,Delivered,EAST
O00097,C0467,,Delivered,EAST
O00098,C0439,,Returned,NORTH
O00099,C0403,,Delivered,WEST
O00100,,,Delivered,NORTH
O00101,C0474,,Delivered,EAST
O00102,C0445,,Delivered,WEST
O00103,C0336,,Delivered,SOUTH
O00104,C0142,,Pending,WEST
O00105,C0020,,Delivered,WEST
O00106,C0472,,Delivered,EAST
O00107,C0160,,Pending,NORTH
O00108,C0498,,Returned,WEST
O00109,C0397,,Delivered,NORTH
O00110,C0097,,Cancelled,WEST
O00111,C0389,,Delivered,SOUTH
O00112,C0034,,Delivered,NORTH
O00113,C0089,,Delivered,NORTH
O00114,C0234,,Delivered,EAST
O00115,C0422,,Pending,NORTH
O00116,C0349,,Delivered,WEST
O00117,C0091,,Delivered,SOUTH
O00118,C0429,,Pending,EAST
O00119,C0015,,Cancelled,SOUTH
O00120,,,Pending,EAST
O00121,C0334,,Cancelled,NORTH
O00122,C0243,,Pending,NORTH
O00123,C0115,,Returned,EAST
O00124,C0217,,Delivered,WEST
O00125,C0155,,Pending,NORTH
O00126,C0004,,Cancelled,EAST
O00127,C0153,,Delivered,EAST
O00128,C0328,,Pending,EAST
O00129,C0097,,Delivered,NORTH
O00130,C0413,,Delivered,SOUTH
O00131,C0370,,Returned,EAST
O00132,C0465,,Pending,SOUTH
O00133,C0176,,Pending,WEST
O00134,C0465,,Delivered,SOUTH
O00135,C0431,,Delivered,WEST
O00136,C0066,,Delivered,SOUTH
O00137,C0485,,Delivered,EAST
O00138,C0115,,Cancelled,EAST
O00139,C0134,,Cancelled,WEST
O00140,,,Returned,NORTH
O00141,C0242,,Cancelled,WEST
O00142,C0272,,Cancelled,SOUTH
O00143,C0071,,Returned,WEST
O00144,C0074,,Pending,WEST
O00145,C0171,,Pending,NORTH
O00146,C0232,,Pending,SOUTH
O00147,C0251,,Delivered,WEST
O00148,C0207,,Delivered,SOUTH
O00149,C0375,,Delivered,SOUTH
O00150,C0010,,Pending,SOUTH
O00151,C0356,,Delivered,EAST
O00152,C0086,,Returned,WEST
O00153,C0373,,Delivered,SOUTH
O00154,C0176,,Delivered,WEST
O00155,C0010,,Returned,SOUTH
O00156,C0376,,Delivered,EAST
O00157,C0365,,Cancelled,EAST
O00158,C0395,,Delivered,NORTH
O00159,C0339,,Delivered,NORTH
O00160,,,Delivered,WEST
O00161,C0360,,Pending,NORTH
O00162,C0155,,Pending,EAST
O00163,C0319,,Delivered,NORTH
O00164,C0262,,Delivered,NORTH
O00165,C0255,,Pending,SOUTH
O00166,C0184,,Delivered,WEST
O00167,C0467,,Delivered,SOUTH
O00168,C0002,,Returned,WEST
O00169,C0077,,Pending,NORTH
O00170,C0464,,Delivered,EAST
O00171,C0136,,Cancelled,NORTH
O00172,C0437,,Pending,WEST
O00173,C0379,,Pending,NORTH
O00174,C0005,,Delivered,EAST
O00175,C0458,,Cancelled,NORTH
O00176,C0191,,Delivered,WEST
O00177,C0140,,Delivered,WEST
O00178,C0333,,Pending,NORTH
O00179,C0483,,Returned,WEST
O00180,,,Delivered,WEST
O00181,C0399,,Cancelled,SOUTH
O00182,C0248,,Delivered,NORTH
O00183,C0033,,Delivered,SOUTH
O00184,C0490,,Delivered,NORTH
O00185,C0222,,Delivered,WEST
O00186,C0077,,Delivered,SOUTH
O00187,C0259,,Delivered,WEST
O00188,C0165,,Delivered,SOUTH
O00189,C0282,,Cancelled,NORTH
O00190,C0236,,Delivered,WEST
O00191,C0229,,Pending,NORTH
O00192,C0053,,Delivered,NORTH
O00193,C0423,,Pending,SOUTH
O00194,C0336,,Delivered,NORTH
O00195,C0419,,Delivered,WEST
O00196,C0367,,Delivered,NORTH
O00197,C0389,,Delivered,EAST
O00198,C0281,,Delivered,SOUTH
O00199,C0253,,Pending,NORTH
O00200,,,Delivered,WEST
O00201,C0111,,Delivered,WEST
O00202,C0024,,Delivered,WEST
O00203,C0235,,Delivered,WEST
O00204,C0003,,Delivered,WEST
O00205,C0430,,Delivered,SOUTH
O00206,C0355,,Cancelled,NORTH
O00207,C0199,,Cancelled,WEST
O00208,C0215,,Delivered,WEST
O00209,C0494,,Cancelled,SOUTH
O00210,C0212,,Pending,EAST
O00211,C0432,,Delivered,SOUTH
O00212,C0103,,Delivered,EAST
O00213,C0472,,Pending,SOUTH
O00214,C0258,,Delivered,NORTH
O00215,C0390,,Delivered,WEST
O00216,C0346,,Cancelled,NORTH
O00217,C0268,,Delivered,NORTH
O00218,C0103,,Pending,SOUTH
O00219,C0430,,Delivered,NORTH
O00220,,,Cancelled,SOUTH
O00221,C0381,,Delivered,EAST
O00222,C0355,,Delivered,WEST
O00223,C0490,,Delivered,EAST
O00224,C0104,,Delivered,EAST
O00225,C0387,,Pending,SOUTH
O00226,C0151,,Delivered,SOUTH
O00227,C0377,,Delivered,EAST
O00228,C0285,,Delivered,EAST
O00229,C0003,,Returned,NORTH
O00230,C0079,,Pending,EAST
O00231,C0252,,Delivered,EAST
O00232,C0270,,Delivered,SOUTH
O00233,C0213,,Delivered,SOUTH
O00234,C0453,,Delivered,EAST
O00235,C0112,,Returned,NORTH
O00236,C0059,,Delivered,SOUTH
O00237,C0491,,Delivered,NORTH
O00238,C0198,,Delivered,EAST
O00239,C0264,,Delivered,SOUTH
O00240,,,Delivered,NORTH
O00241,C0321,,Pending,SOUTH
O00242,C0443,,Delivered,WEST
O00243,C0332,,Delivered,WEST
