order_id,customer_id,order_date,status,region_code
O00001,C0488,31-07-2025,Pending,EAST
O00002,C0086,25-08-2025,Pending,EAST
O00003,C0376,08-12-2024,Cancelled,EAST
O00004,C0269,14-10-2024,Returned,NORTH
O00005,C0255,19-11-2025,Delivered,SOUTH
O00006,C0189,18-01-2025,Delivered,NORTH
O00007,C0117,13-01-2026,Cancelled,NORTH
O00008,C0126,26-09-2024,Delivered,SOUTH
O00009,C0092,15-09-2024,Returned,WEST
O00010,C0115,05-07-2025,Returned,EAST
O00011,C0139,28-10-2024,Delivered,NORTH
O00012,C0092,26-03-2025,Returned,NORTH
O00013,C0450,29-11-2025,Cancelled,EAST
O00014,C0045,27-02-2026,Delivered,EAST
O00015,C0289,18-06-2025,Delivered,EAST
O00016,C0303,28-12-2025,Returned,SOUTH
O00017,C0078,16-08-2024,Delivered,EAST
O00018,C0326,21-07-2026,Delivered,WEST
O00019,C0435,20-06-2025,Delivered,SOUTH
O00020,,26-12-2025,Pending,NORTH
O00021,C0023,2025-04-04 17:57:35,Pending,EAST
O00022,C0235,2024-11-04 19:37:35,Delivered,WEST
O00023,C0039,2026-04-08 19:34:35,Delivered,SOUTH
O00024,C0122,2025-06-04 10:25:35,Delivered,WEST
O00025,C0359,2025-07-10 11:59:35,Delivered,NORTH
O00026,C0484,2025-03-05 06:20:35,Pending,NORTH
O00027,C0080,2024-11-26 06:59:35,Delivered,WEST
O00028,C0062,2026-02-09 13:20:35,Delivered,EAST
O00029,C0238,2025-05-08 04:36:35,Delivered,EAST
O00030,C0424,2026-08-02 00:09:35,Delivered,EAST
O00031,C0076,2024-11-11 23:46:35,Returned,WEST
O00032,C0263,2024-09-29 22:50:35,Delivered,SOUTH
O00033,C0016,2025-09-28 16:06:35,Pending,SOUTH
O00034,C0049,2025-11-26 05:22:35,Pending,NORTH
O00035,C0007,2024-10-12 08:39:35,Delivered,WEST
O00036,C0191,2026-07-13 22:12:35,Delivered,EAST
O00037,C0470,2024-10-25 01:35:35,Delivered,WEST
