product_id,product_name,category,subcategory,cost_price
P0001,Decor Product 1,Home,Decor,4841.71
P0002,Science Product 2,Books,Science,3015.7
P0003,Headphones Product 3,Electronics,Headphones,2838.72
P0004,Kitchen Product 4,Home,Kitchen,3383.57
P0005,Fitness Product 5,Sports,Fitness,3265.52
P0006,History Product 6,Books,History,189.33
P0007,Kitchen Product 7,Home,Kitchen,4760.73
P0008,Appliances Product 8,Home,Appliances,1040.83
P0009,Jeans Product 9,Clothing,Jeans,478.11
P0010,Laptop Product 10,Electronics,Laptop,3343.45
P0011,Cricket Product 11,Sports,Cricket,3026.51
P0012,Jeans Product 12,Clothing,Jeans,986.15
P0013,Cricket Product 13,Sports,Cricket,3633.8
P0014,Tablet Product 14,Electronics,Tablet,1885.07
P0015,Jackets Product 15,Clothing,Jackets,3091.92
P0016,Science Product 16,Books,Science,2716.65
P0017,Appliances Product 17,Home,Appliances,4529.47
P0018,Shoes Product 18,Clothing,Shoes,3423.7
P0019,Tennis Product 19,Sports,Tennis,2362.23
P0020,  APPLIANCES PRODUCT 20  ,Home,Appliances,2564.24
P0021,Science Product 21,Books,Science,4102.77
P0022,Cricket Product 22,Sports,Cricket,4377.71
P0023,Tablet Product 23,Electronics,Tablet,4383.17
P0024,Fitness Product 24,Sports,Fitness,3585.86
P0025,Fitness Product 25,Sports,Fitness,1496.81
P0026,Shoes Product 26,Clothing,Shoes,2301.66
P0027,Cricket Product 27,Sports,Cricket,4172.13
P0028,Phone Product 28,Electronics,Phone,4101.85
P0029,Furniture Product 29,Home,Furniture,2132.99
P0030,History Product 30,Books,History,1255.31
P0031,Headphones Product 31,Electronics,Headphones,1200.24
P0032,Furniture Product 32,Home,Furniture,4211.96
P0033,Kitchen Product 33,Home,Kitchen,774.24
P0034,Appliances Product 34,Home,Appliances,3510.75
P0035,Jackets Product 35,Clothing,Jackets,2298.15
P0036,Laptop Product 36,Electronics,Laptop,193.12
P0037,Jeans Product 37,Clothing,Jeans,2789.14
P0038,Tennis Product 38,Sports,Tennis,644.82
P0039,Kitchen Product 39,Home,Kitchen,1575.64
P0040,  PHONE PRODUCT 40  ,Electronics,Phone,2157.15
P0041,Tennis Product 41,Sports,Tennis,407.76
P0042,Fiction Product 42,Books,Fiction,3196.58
P0043,Cricket Product 43,Sports,Cricket,3620.87
P0044,Appliances Product 44,Home,Appliances,107.67
P0045,Kitchen Product 45,Home,Kitchen,2896.25
P0046,Shirts Product 46,Clothing,Shirts,2665.07
P0047,Furniture Product 47,Home,Furniture,4771.68
P0048,Fitness Product 48,Sports,Fitness,2013.22
P0049,Fiction Product 49,Books,Fiction,3214.79
P0050,Decor Product 50,Home,Decor,3761.85
P0051,Furniture Product 51,Home,Furniture,1789.53
P0052,Headphones Product 52,Electronics,Headphones,753.71
P0053,Decor Product 53,Home,Decor,4086.19
P0054,Jackets Product 54,Clothing,Jackets,4906.01
P0055,Science Product 55,Books,Science,4076.34
P0056,Tablet Product 56,Electronics,Tablet,281.22
P0057,Shirts Product 57,Clothing,Shirts,3976.44
P0058,Headphones Product 58,Electronics,Headphones,4673.52
P0059,Tennis Product 59,Sports,Tennis,4946.7
P0060,  TENNIS PRODUCT 60  ,Sports,Tennis,1341.24
P0061,Shoes Product 61,Clothing,Shoes,1849.17
P0062,Headphones Product 62,Electronics,Headphones,1438.76
P0063,Appliances Product 63,Home,Appliances,4458.48
P0064,Technology Product 64,Books,Technology,1761.28
P0065,Jackets Product 65,Clothing,Jackets,3491.14
P0066,Decor Product 66,Home,Decor,4025.63
P0067,Fiction Product 67,Books,Fiction,2209.98
P0068,Shoes Product 68,Clothing,Shoes,1673.94
P0069,Headphones Product 69,Electronics,Headphones,3338.5
P0070,Appliances Product 70,Home,Appliances,3052.85
P0071,Science Product 71,Books,Science,3479.85
P0072,Appliances Product 72,Home,Appliances,307.54
P0073,Appliances Product 73,Home,Appliances,1445.32
P0074,Laptop Product 74,Electronics,Laptop,3388.8
P0075,History Product 75,Books,History,2614.12
P0076,Shirts Product 76,Clothing,Shirts,799.62
P0077,Tennis Product 77,Sports,Tennis,270.51
P0078,Phone Product 78,Electronics,Phone,3914.73
P0079,Decor Product 79,Home,Decor,1975.99
P0080,  FITNESS PRODUCT 80  ,Sports,Fitness,3064.96
P0081,History Product 81,Books,History,1922.87
P0082,Phone Product 82,Electronics,Phone,2694.35
P0083,History Product 83,Books,History,3282.85
P0084,Shirts Product 84,Clothing,Shirts,226.98
P0085,Jackets Product 85,Clothing,Jackets,2636.95
P0086,Fitness Product 86,Sports,Fitness,1382.71
P0087,Appliances Product 87,Home,Appliances,1151.4
P0088,Football Product 88,Sports,Football,3500.51
P0089,Science Product 89,Books,Science,700.92
P0090,Tablet Product 90,Electronics,Tablet,946.02
P0091,Fiction Product 91,Books,Fiction,4071.51
P0092,Decor Product 92,Home,Decor,3576.75
P0093,Football Product 93,Sports,Football,4467.53
P0094,Jeans Product 94,Clothing,Jeans,3989.11
P0095,Cricket Product 95,Sports,Cricket,694.68
P0096,Jeans Product 96,Clothing,Jeans,1260.01
P0097,Fiction Product 97,Books,Fiction,1868.39
P0098,Football Product 98,Sports,Football,2390.29
P0099,Cricket Product 99,Sports,Cricket,3098.55
P0100,  LAPTOP PRODUCT 100  ,Electronics,Laptop,1615.52
P0101,Technology Product 101,Books,Technology,3868.91
P0102,Fitness Product 102,Sports,Fitness,714.1
P0103,Furniture Product 103,Home,Furniture,2304.88
P0104,Football Product 104,Sports,Football,728.84
P0105,Cricket Product 105,Sports,Cricket,3862.13
P0106,Jackets Product 106,Clothing,Jackets,2564.03
P0107,Laptop Product 107,Electronics,Laptop,2638.7
P0108,Kitchen Product 108,Home,Kitchen,893.64
P0109,Shoes Product 109,Clothing,Shoes,4742.67
P0110,Football Product 110,Sports,Football,4245.08
P0111,Kitchen Product 111,Home,Kitchen,3211.78
P0112,Football Product 112,Sports,Football,713.33
P0113,Furniture Product 113,Home,Furniture,2562.61
P0114,Jeans Product 114,Clothing,Jeans,938.88
P0115,Football Product 115,Sports,Football,4228.4
P0116,Fitness Product 116,Sports,Fitness,4143.66
P0117,Laptop Product 117,Electronics,Laptop,322.76
P0118,Football Product 118,Sports,Football,3290.54
P0119,Tennis Product 119,Sports,Tennis,3128.73
P0120,  TABLET PRODUCT 120  ,Electronics,Tablet,4456.08
P0121,Football Product 121,Sports,Football,3245.35
P0122,Appliances Product 122,Home,Appliances,1299.9
P0123,History Product 123,Books,History,2322.37
P0124,Phone Product 124,Electronics,Phone,2254.07
P0125,Technology Product 125,Books,Technology,1099.71
P0126,Cricket Product 126,Sports,Cricket,1631.65
P0127,Decor Product 127,Home,Decor,4879.33
P0128,Shoes Product 128,Clothing,Shoes,2623.4
P0129,Headphones Product 129,Electronics,Headphones,1284.52
P0130,Headphones Product 130,Electronics,Headphones,2303.02
P0131,Shirts Product 131,Clothing,Shirts,347.97
P0132,Technology Product 132,Books,Technology,1316.52
P0133,Shoes Product 133,Clothing,Shoes,4675.38
P0134,Kitchen Product 134,Home,Kitchen,3839.29
P0135,Technology Product 135,Books,Technology,2543.92
P0136,Appliances Product 136,Home,Appliances,213.56
P0137,Technology Product 137,Books,Technology,4836.76
P0138,Shoes Product 138,Clothing,Shoes,338.42
P0139,Appliances Product 139,Home,Appliances,3027.84
P0140,  HISTORY PRODUCT 140  ,Books,History,2729.78
P0141,Tablet Product 141,Electronics,Tablet,756.28
P0142,Decor Product 142,Home,Decor,3842.9
P0143,Furniture Product 143,Home,Furniture,2062.85
P0144,Cricket Product 144,Sports,Cricket,1876.37
P0145,Furniture Product 145,Home,Furniture,1993.11
P0146,History Product 146,Books,History,4144.03
P0147,Fitness Product 147,Sports,Fitness,730.45
P0148,Tablet Product 148,Electronics,Tablet,1928.67
P0149,Decor Product 149,Home,Decor,3799.33
P0150,Jackets Product 150,Clothing,Jackets,2550.38
P0151,Laptop Product 151,Electronics,Laptop,771.48
P0152,Appliances Product 152,Home,Appliances,2644.73
P0153,Jeans Product 153,Clothing,Jeans,1707.03
P0154,Football Product 154,Sports,Football,896.26
P0155,Football Product 155,Sports,Football,3009.25
P0156,Tennis Product 156,Sports,Tennis,3572.83
P0157,Appliances Product 157,Home,Appliances,4097.17
P0158,Decor Product 158,Home,Decor,3401.65
P0159,History Product 159,Books,History,4004.1
P0160,  TABLET PRODUCT 160  ,Electronics,Tablet,1401.1
P0161,Cricket Product 161,Sports,Cricket,3634.86
P0162,Tennis Product 162,Sports,Tennis,935.51
P0163,Tennis Product 163,Sports,Tennis,824.1
P0164,Shirts Product 164,Clothing,Shirts,2905.59
P0165,Phone Product 165,Electronics,Phone,192.79
P0166,Appliances Product 166,Home,Appliances,842.01
P0167,Jackets Product 167,Clothing,Jackets,2558.92
P0168,Tennis Product 168,Sports,Tennis,4376.81
P0169,Phone Product 169,Electronics,Phone,2641.55
P0170,Football Product 170,Sports,Football,4990.8
P0171,Technology Product 171,Books,Technology,1637.39
P0172,Jackets Product 172,Clothing,Jackets,4569.41
P0173,Decor Product 173,Home,Decor,3411.76
P0174,Appliances Product 174,Home,Appliances,1042.09
P0175,Shoes Product 175,Clothing,Shoes,2834.62
P0176,Shoes Product 176,Clothing,Shoes,3878.75
P0177,Jackets Product 177,Clothing,Jackets,1653.5
P0178,Decor Product 178,Home,Decor,1510.17
P0179,Tennis Product 179,Sports,Tennis,4489.23
P0180,  HISTORY PRODUCT 180  ,Books,History,4777.58
P0181,Shoes Product 181,Clothing,Shoes,306.13
P0182,Headphones Product 182,Electronics,Headphones,4627.65
P0183,Appliances Product 183,Home,Appliances,1148.54
P0184,Football Product 184,Sports,Football,4671.82
P0185,Kitchen Product 185,Home,Kitchen,635.21
P0186,Cricket Product 186,Sports,Cricket,1288.04
